OBJECTID,Moose density 2016,Moose density 2017,Elk density 2016,Elk density 2017,Moose catchability 2016,Moose catchability+density 2016,Moose catchability 2017,Moose catchability+density 2017,Elk catchability 2016,Elk catchability+density 2016,Elk catchability 2017,Elk catchability+density 2017
114,4.1666698,2.0833299,0,0,0.0107011,0.0263049,0.0045327,0.0036042,0.0028105,0.0043093,0.0015285,0.0021637
115,2.0833299,2.0833299,0,0,0.0113754,0.0271943,0.0048028,0.0031461,0.0021772,0.0034539,0.0015687,0.0021307
116,0,0,0,0,0.0099817,0.0268828,0.0053775,0.0026583,0.0029854,0.0040054,0.0018355,0.0021721
117,0,0,0,0,0.0090634,0.0120783,0.0076225,0.0042489,0.0047178,0.0058438,0.003955,0.0040845
118,0,0,0,0,0.0208517,0.011861,0.0165736,0.0014791,0.0051865,0.0007869,0.0134481,0.0059323
119,0,0,0,0,0.006473,0.0047849,0.0113778,0.0075727,0.0133703,0.0142,0.0098182,0.0085665
120,2.0833299,2.0833299,0,0,0.013745,0.0162205,0.0071993,0.0030241,0.0045623,0.0022686,0.0044172,0.0041438
121,4.1666698,2.0833299,0,0,0.0138044,0.0156835,0.0052691,0.004631,0.0025015,0.0026615,0.0026822,0.0038144
122,0,0,0,0,0.0127849,0.026996,0.0061817,0.0020157,0.0004212,0.0006452,0.0007104,0.0008457
123,0,0,0,0,0.0112699,0.0373895,0.0056263,0.0019178,0.0006025,0.0009996,0.000611,0.0007826
124,0,0,12.5,12.5,0.0130954,0.02119,0.0042723,0.0051962,0.0020303,0,0.0018651,0
125,0,0,0,0,0.0066557,0.0192853,0.0057666,0.003123,0.0025382,0.0042824,0.0010803,0.0012358
126,2.0833299,2.0833299,0,0,0.0060149,0.0076102,0.0075538,0.0088191,0.0079009,0.0302496,0.0042886,0.0061951
127,0,0,0,0,0.0040029,0.0042275,0.0128188,0.0182049,0.0673863,0.024182,0.013374,0.0058337
128,0,0,0,0,0.0067459,0.0102307,0.0085398,0.0081747,0.0120623,0.0027077,0.0037215,0.0018241
129,0,0,0,0,0.0082505,0.0108838,0.0071619,0.0069941,0.0061069,0.0013096,0.0025477,0.0014375
130,0,0,0,0,0.0090453,0.0140948,0.0060259,0.0059023,0.0037544,0.00088,0.0016221,0.0010961
131,0,0,0,0,0.0088744,0.0199038,0.0059525,0.005192,0.0061529,0.0061962,0.0027175,0.0029717
132,0,0,0,2.0833299,0.0107229,0.0260807,0.0048734,0.003726,0.0030817,0.0038975,0.0018064,0
133,0,0,0,0,0.0087776,0.0229608,0.0055728,0.0032776,0.0043465,0.0073825,0.0021936,0.0027596
134,0,0,0,0,0.0094138,0.0243356,0.0056972,0.0027101,0.0042458,0.0059217,0.002309,0.0027094
135,0,0,0,0,0.0108099,0.01158,0.007723,0.0039747,0.0040429,0.0051855,0.0045789,0.0049233
136,4.1666698,2.0833299,0,0,0.0130025,0.0122398,0.0075881,0.0028585,0.0031804,0.0018202,0.0036397,0.0031825
137,0,0,0,0,0.0066325,0.008998,0.0062829,0.0038946,0.0044959,0.0010347,0.0016309,0.0010675
138,0,0,0,0,0.008399,0.0096987,0.0058369,0.00403,0.0047854,0.0007656,0.0019738,0.0013493
139,0,0,0,0,0.0089759,0.010142,0.0059152,0.0064601,0.0068004,0.0053938,0.0039425,0.0047918
140,0,0,0,0,0.0105302,0.0229637,0.0062346,0.0018825,0.0005652,0.0008417,0.0007232,0.0007998
141,0,0,0,0,0.0112856,0.0200233,0.0049169,0.0040565,0.0018635,0.0030322,0.0016371,0.0025509
142,10.4167004,8.3333302,0,0,0.007786,0.0043368,0.0074087,0.0128709,0.004985,0.0230476,0.0050488,0.008753
143,0,0,0,0,0.0109561,0.01394,0.0048315,0.0062121,0.0027685,0.0065498,0.002535,0.0045627
144,4.1666698,4.1666698,18.75,0,0.008774,0.0059958,0.0064628,0.0166069,0.0098201,0,0.0079388,0.0160867
145,0,4.1666698,0,0,0.0103894,0.0189032,0.0187102,0.0067525,0.0138392,0.0065595,0.0161175,0.0047898
146,0,0,0,0,0.0161465,0.0242841,0.0112887,0.0067323,0.0162299,0.0066308,0.0116788,0.0072055
147,0,0,0,0,0.0112129,0.0069522,0.0099881,0.0130731,0.0105261,0.016308,0.0064525,0.0127204
148,0,0,0,0,0.0086759,0.0110978,0.0070863,0.0065502,0.0070009,0.0011785,0.0029599,0.0015242
149,0,0,0,0,0.0085287,0.0120019,0.0058399,0.0059565,0.0054146,0.0010315,0.0020358,0.001253
150,4.1666698,4.1666698,0,0,0.0087783,0.0040277,0.006608,0.0137709,0.0036226,0.0269852,0.0024322,0.0092891
151,2.0833299,2.0833299,0,0,0.0106565,0.016224,0.0062965,0.0032433,0.0013994,0.0027229,0.0016318,0.0018952
152,0,0,0,0,0.0110523,0.0177117,0.0070754,0.0022538,0.0010151,0.002121,0.0015011,0.001718
153,6.25,6.25,0,0,0.0120838,0.0110139,0.0065396,0.0039681,0.0040677,0.0025979,0.0034759,0.003593
154,2.0833299,2.0833299,0,0,0.006606,0.0096371,0.0106549,0.0029968,0.0067366,0.0019004,0.0062635,0.0017785
155,0,0,0,0,0.0073344,0.0101806,0.0049108,0.0039992,0.0037704,0.0007841,0.0012892,0.0009415
156,0,0,0,0,0.0079591,0.0122721,0.0044657,0.0035959,0.0029828,0.0005943,0.0010313,0.0008361
157,0,0,0,0,0.007744,0.0113189,0.0044226,0.0044203,0.0035579,0.0008219,0.0011762,0.0010377
158,0,0,0,0,0.0090619,0.0184984,0.0054534,0.0023234,0.0009883,0.0008902,0.0008091,0.0007954
159,0,0,0,0,0.0106712,0.0172324,0.0045076,0.0043617,0.0023638,0.0039769,0.0017754,0.0029677
160,10.4167004,4.1666698,0,0,0.0102211,0.0111434,0.0047894,0.0042897,0.0017391,0.0049308,0.0014588,0.0025993
161,6.25,6.25,0,0,0.0141205,0.015665,0.0041052,0.0058332,0.0017418,0.0036432,0.0018339,0.0035483
162,2.0833299,6.25,14.5832996,0,0.0144036,0.0222748,0.0041545,0.006191,0.0020675,0,0.0018564,0.0036192
163,0,0,0,0,0.0081914,0.0186854,0.0192939,0.007204,0.0073738,0.0079639,0.0096925,0.0034988
164,0,0,0,0,0.011513,0.019873,0.0084178,0.0111491,0.0084447,0.0016257,0.004172,0.0025704
165,0,0,0,0,0.015705,0.0236847,0.0081176,0.0045008,0.003996,0.0027021,0.0047488,0.0038819
166,0,0,0,0,0.0135889,0.0102724,0.012767,0.0116708,0.030769,0.013044,0.0254845,0.0209517
167,4.1666698,4.1666698,0,0,0.0155105,0.0171151,0.0061934,0.0059984,0.0030271,0.0023151,0.0033042,0.0036636
168,0,0,0,0,0.0095536,0.0158938,0.0065094,0.0052976,0.005749,0.0081452,0.0036523,0.0043002
169,0,0,0,0,0.0108915,0.0172927,0.0060078,0.0036843,0.0019635,0.0036997,0.0020525,0.0025999
170,0,0,0,0,0.0109777,0.0182223,0.006462,0.0028143,0.0019566,0.0035726,0.0021088,0.0025517
171,0,0,0,0,0.0142137,0.0143309,0.0065987,0.0032576,0.0029154,0.0024873,0.0037456,0.0041314
172,0,0,0,0,0.0122158,0.0137506,0.0067826,0.0028918,0.0019521,0.0019728,0.0025332,0.0027142
173,0,0,0,0,0.0076587,0.011334,0.0050233,0.0033655,0.0024293,0.0005744,0.0009691,0.0007272
174,0,0,0,0,0.0079197,0.0131175,0.0040498,0.0039345,0.0028097,0.0006439,0.0009011,0.0007914
175,0,0,0,0,0.0070864,0.0096768,0.0044565,0.0052761,0.0041215,0.001177,0.0012823,0.001167
176,0,0,0,0,0.0088146,0.0130568,0.0056315,0.0039872,0.0020677,0.004004,0.001757,0.002458
177,0,0,0,0,0.0091079,0.0178484,0.0047734,0.0043223,0.0034344,0.0075387,0.0020651,0.003501
178,4.1666698,6.25,0,0,0.0119724,0.0157253,0.0043912,0.0059605,0.0023,0.005194,0.0020525,0.0039595
179,0,0,10.4167004,10.4167004,0.0118206,0.0171817,0.0050969,0.0045999,0.0021949,0,0.0022772,0
180,14.5832996,8.3333302,0,0,0.0099625,0.0039707,0.0065913,0.0165262,0.0078282,0.0227184,0.0070552,0.014062
181,2.0833299,2.0833299,0,0,0.0069899,0.0166028,0.0176041,0.0074774,0.0058518,0.0076445,0.0066269,0.0023768
182,0,0,0,0,0.0098979,0.016336,0.0095597,0.0070356,0.0046707,0.0054483,0.0044859,0.0032404
183,4.1666698,4.1666698,0,0,0.010707,0.017486,0.0087953,0.0058506,0.0041656,0.0053594,0.0036883,0.0031358
184,0,0,0,0,0.0160018,0.014896,0.0106178,0.0117304,0.0079753,0.0088453,0.0116622,0.0140234
185,0,0,0,0,0.0174564,0.0269566,0.0061327,0.0039973,0.0033656,0.002158,0.0035678,0.003811
186,2.0833299,2.0833299,4.1666698,0,0.0073763,0.0066157,0.0065753,0.0070275,0.0058911,0,0.0023871,0.001604
187,0,0,0,0,0.011076,0.0196107,0.0053185,0.0043441,0.0034698,0.0042381,0.002406,0.0030962
188,0,0,0,0,0.0122375,0.0166016,0.0057216,0.0042455,0.0030754,0.0045905,0.003026,0.0041592
189,2.0833299,0,2.0833299,2.0833299,0.014581,0.0170247,0.0057902,0.0029522,0.0027514,0,0.0030321,0
190,0,0,0,0,0.009124,0.0054262,0.0103503,0.0059259,0.0053503,0.0089236,0.0075063,0.0080708
191,0,0,0,0,0.0087157,0.0124212,0.004358,0.0041277,0.0035005,0.0006796,0.001205,0.0010296
192,0,0,0,0,0.0088169,0.014784,0.003847,0.0040922,0.0027927,0.0006012,0.0009037,0.0008422
193,0,0,0,0,0.0075603,0.0107584,0.0041472,0.00576,0.0040071,0.0011987,0.0012188,0.0012154
194,4.1666698,4.1666698,0,0,0.0094102,0.012328,0.0054522,0.0044151,0.0015194,0.0035324,0.0014401,0.0021443
195,0,0,25,0,0.0119603,0.0151572,0.0048285,0.0057157,0.0024194,0,0.0025508,0.004957
196,6.25,0,0,0,0.0136633,0.0164726,0.0045423,0.0043166,0.0018629,0.0044176,0.0019814,0.0039579
197,0,0,0,0,0.0171436,0.0259638,0.0039655,0.0047792,0.0019351,0.0030811,0.0021125,0.0044672
198,0,4.1666698,0,14.5832996,0.016894,0.0247522,0.0047037,0.0068533,0.0026182,0.0037643,0.0027129,0
199,0,0,0,0,0.013819,0.0273584,0.0082754,0.0040442,0.0026431,0.0033583,0.0032915,0.0021792
200,6.25,0,0,0,0.0119518,0.016852,0.0075162,0.0046473,0.0026198,0.0034849,0.0026474,0.0023519
201,0,0,0,0,0.0104401,0.0168458,0.0063969,0.0044085,0.0031913,0.0005031,0.0015437,0.0008697
202,4.1666698,0,0,0,0.0176451,0.0174634,0.0078233,0.0032257,0.0037131,0.0021126,0.0046282,0.003932
203,2.0833299,2.0833299,0,0,0.0115439,0.0125452,0.0057271,0.0059897,0.0046257,0.000764,0.0020915,0.0015525
204,8.3333302,12.5,0,0,0.0112692,0.0123121,0.0061177,0.0075502,0.0039977,0.003377,0.0031797,0.0028483
