FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5121,0,2017,0,0,0.194631,0.0469799,0,5.2508898,3.77107,8.6857204,8.2848301,5.1399398,1,6.2648902
5122,0,2017,0,0,0.107383,0,0,6.9167299,3.77107,8.59126,7.8051901,4.2207098,0,6.8236299
5123,0,2017,0,0,0.288591,0,0,7.3140898,4.1108699,8.6434402,7.6674099,4.5629802,1,6.9875698
5124,0,2017,0,0.0268456,0,0.483221,0,6.8362598,5.4847999,8.5949697,6.8362598,5.6021199,6,7.0417299
5125,0,2017,0,0,0.697987,0,0.302013,5.9687099,3.43399,8.6100903,5.9687099,6.9113998,2,4.82586
5126,0,2017,0,0.0134228,0.127517,0.0134228,0.845638,6.7428098,4.5629802,8.6245403,6.5419002,7.3737202,0,3.77107
5127,0,2017,0,0.469799,0.416107,0.0201342,0,7.4119401,3.77107,8.7224102,5.4847999,6.5745301,2,6.28722
5128,0,2017,0,0.0402685,0.61745,0.181208,0.14094,7.4995599,3.43399,8.6697197,5.7810798,6.4047999,1,6.0722799
5129,0,2017,0,0,0.241611,0.308725,0,8.3293505,4.1108699,8.3536997,7.0220599,5.6919298,5,5.8378801
5130,0,2017,0,0.0134228,0.033557,0.0939597,0,8.2694597,4.2207098,8.3455496,6.7345901,5.5149899,2,5.7500601
5131,0,2017,0,0.0067114,0,0.0939597,0,8.3516798,6.4047999,8.1148701,6.96839,6.5029502,3,6.4906502
5132,0,2017,0,0.295302,0,0.38255,0,7.9825902,5.6021199,8.1136198,6.2632599,6.29496,5,6.8665099
5133,0,2017,0,0.610738,0.261745,0.127517,0,8.0129099,0,8.02075,5.8888798,6.9707799,2,6.4484401
5134,0,2017,0,0.100671,0.52349,0.0805369,0,7.7979598,4.1108699,8.1546297,6.1640301,6.9337001,5,5.0172801
5135,0,2017,0,0,0,0,0,8.0273104,5.2631798,8.3798704,7.7318501,6.6409898,6,6.4416099
5136,0,2017,0,0,0.442953,0.0134228,0,8.1974001,0,8.5952301,8.0946999,5.2631798,1,6.8035102
5137,0,2017,0,0,0.0134228,0.181208,0,8.5358896,3.43399,8.77985,8.4943199,6.6948299,4,6.6332502
5138,0,2017,0,0,0.0738255,0.120805,0,8.5679798,4.82586,8.7484798,8.5556698,5.9687099,8,6.85463
5139,0,2017,0,0,0.322148,0,0,8.9579096,4.8542099,8.6172705,8.9841995,0,0,0
5140,0,2017,0,0,0,0,0,9.1327801,5.4847999,8.2975302,9.16535,0,0,5.5959301
5141,0,2017,0,0,0.208054,0,0,9.2821198,3.43399,7.7850399,9.3173599,6.23809,1,6.8625798
5142,0,2017,0,0,0.355705,0,0,9.3228102,0,7.6461701,9.3551998,5.9687099,0,6.9337001
5143,0,2017,0,0,0.0604027,0,0,9.4215498,4.1108699,6.8062701,9.4535303,6.4661899,3,5.6919298
5144,0,2017,0,0,0.308725,0.033557,0,6.6308999,3.43399,8.6182604,7.95365,5.0367599,6,6.68648
5145,0,2017,0,0,0.42953,0,0,7.3429999,4.2207098,8.6168499,7.4622102,0,3,6.8665099
5146,0,2017,0,0.0402685,0.33557,0.194631,0,6.29496,3.43399,8.5890303,6.2934198,4.5629802,0,7.02882
5147,0,2017,0,0.0067114,0,0.516779,0,5.3814301,5.6261301,8.6191998,5.0172801,5.9476099,7,6.72754
5148,0,2017,0,0,0.704698,0,0.295302,6.62854,3.77107,8.6012297,6.42768,7.10325,0,3.77107
5149,0,2017,0,0.134228,0.0268456,0.0268456,0.812081,7.0410399,5.2121201,8.6547298,5.8021202,7.41325,1,5.8888798
5150,0,2017,0,0.90604,0.0067114,0.0872483,0,6.9149599,5.1985002,8.7038298,6.2363701,7.24933,1,5.1985002
5151,0,2017,0,0.95302,0.0201342,0.0268456,0,7.2392201,5.1700802,8.7485704,5.6919298,6.87428,1,6.1114702
5152,0,2017,0,0.0872483,0.100671,0.0939597,0,7.8344598,4.8542099,8.6532202,0,6.45961,0,6.2934198
5153,0,2017,0,0,0,0.0067114,0,8.1264095,6.27777,8.5176697,6.5976801,7.1620898,11,6.6989498
5154,0,2017,0,0.0067114,0,0.228188,0,8.2075396,6.4035602,8.5101805,6.6117301,6.8057199,8,6.20612
5155,0,2017,0,0,0,0.0268456,0,8.3182201,5.4357901,8.4170303,7.0669298,6.3596802,5,6.1835999
5156,0,2017,0,0.0268456,0,0.583893,0,8.3781605,5.4357901,8.2013102,7.1444502,5.4608898,3,5.3909101
