FID,Month,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Stream_D,Trail_D,Water_D,Ruggedness,M_Density
148,0,2017,0,0,0.134228,0,0,7.9756098,4.1108699,6.44731,6.6463399,8.32796,6.69206,2,0
149,0,2017,0,0,0,0,0,8.1236897,5.6021199,7.1155801,5.8021202,8.4569902,5.9414201,3,0
150,0,2017,0,0,0,0,0,8.0531101,5.3909101,7.51262,5.4847999,8.5725203,5.5959301,2,0
151,0,2017,0,0,0,0,0,7.8558002,5.9059,7.76332,6.65835,8.6768703,6.0349398,5,6.25
152,0,2017,0,0,0,0.0067114,0,7.5956998,5.6919298,7.6898599,6.93923,8.7718897,6.19311,1,0
153,0,2017,0,0,0.167785,0,0,7.2486501,3.43399,7.68607,6.9966998,8.8590298,4.6928701,2,0
154,0,2017,0,0,0.0872483,0,0,6.7170901,4.1108699,7.6928601,6.8193402,8.9394398,6.1835999,3,0
155,0,2017,0,0,0,0,0,5.5959301,5.3094902,7.6374602,6.3948398,9.0140495,5.7071099,1,0
156,0,2017,0,0,0.100671,0,0,5.3094902,3.77107,7.6619601,3.43399,9.0836201,6.64329,3,0
157,0,2017,0,0,0,0,0,4.6928701,5.98037,7.7561102,6.08178,9.1487703,7.12994,2,0
158,0,2017,0,0,0,0,0,5.8021202,5.5503201,7.8655701,6.8035102,9.2100096,7.15031,3,0
159,0,2017,0,0,0,0,0,5.6082301,6.2761798,7.7327199,6.4288602,9.2677898,6.8766799,4,0
160,0,2017,0,0,0,0,0,5.35186,6.3460002,7.6419401,6.2632599,9.3224602,6.8954902,4,0
161,0,2017,0,0,0,0,0,0,5.9537301,7.5263901,6.8485799,9.3743401,7.1825199,2,4.1666698
162,0,2017,0,0,0,0,0,4.7957902,5.5434499,7.2733102,7.02491,9.4236898,7.4885402,1,0
163,0,2017,0,0,0,0,0,5.0172801,6.28722,7.0798602,6.8367801,9.4707499,7.2375998,0,4.1666698
164,0,2017,0,0,0,0,0,5.0172801,6.36904,7.03966,6.53053,9.5157204,7.07376,1,0
165,0,2017,0,0,0,0,0,5.0172801,6.2432299,7.03966,5.5434499,9.5587702,7.1261702,7,0
166,0,2017,0,0,0,0.0067114,0,5.0172801,6.27777,7.01302,5.2631798,9.6000605,7.3480701,12,0
167,0,2017,0,0.0067114,0,0.0402685,0,3.43399,6.32621,7.1086998,6.23809,9.6182604,7.3935299,2,0
168,0,2017,0,0,0,0,0,3.43399,6.2363701,7.3593302,6.8112102,9.6201696,7.4328499,1,0
169,0,2017,0,0,0,0,0,3.43399,6.0349398,7.4285798,7.1907701,9.6236401,7.37848,2,0
170,0,2017,0,0,0.0201342,0,0,3.43399,4.1108699,7.0468702,7.0899701,9.6286602,6.9149599,1,0
171,0,2017,0,0,0,0,0,0,5.2508898,6.5883799,6.6308999,9.63517,6.0650301,1,0
172,0,2017,0,0,0.0201342,0,0,5.0172801,4.8542099,6.5149598,6.4748302,9.6431103,5.6261301,1,0
173,0,2017,0,0,0,0,0,4.51086,5.6021199,6.7010002,6.5314898,9.6202803,6.7223401,1,0
174,0,2017,0,0,0.107383,0.0134228,0,0,4.2207098,5.3909101,5.3619099,9.5811996,5.9476099,2,0
175,0,2017,0,0,0,0,0,6.1539502,5.5570998,5.98037,5.8062201,9.5406799,6.0576701,2,0
176,0,2017,0,0,0,0,0,6.9425998,6.3174801,6.8625798,6.6765699,9.4986095,6.8766799,1,0
177,0,2017,0,0,0.0536913,0,0,7.3863201,4.5629802,6.5419002,7.1083999,9.4548798,7.349,1,
178,0,2017,0,0,0,0,0,7.6922102,6.3070898,6.77672,6.4937501,9.40938,7.6723099,1,
179,0,2017,0,0,0.0738255,0,0,7.9295702,4.1108699,6.2432299,4.1108699,9.3619804,7.6792898,2,
180,0,2017,0,0,0,0,0,8.1226196,6.2934198,4.6928701,6.23809,9.3125601,7.5724201,1,
181,0,2017,0,0,0,0,0,8.2844,6.9237599,6.5419002,6.77496,9.2609901,7.5479999,2,
182,0,2017,0,0,0,0,0,8.3078098,6.9289699,5.8888798,6.6409898,9.2070999,7.6179399,1,
183,0,2017,0,0,0,0,0,8.3487797,7.0643001,5.4847999,6.9675899,9.1507797,7.7508898,2,
184,0,2017,0,0,0,0,0,8.4050102,6.6214099,6.7345901,6.75701,9.0918798,7.8467202,2,
185,0,2017,0,0,0.0201342,0,0,8.47157,5.0172801,6.68648,6.6955199,9.0302801,7.8889399,2,
186,0,2017,0,0,0,0,0,8.5441504,6.0426302,6.7877202,6.5390801,8.96593,7.86057,2,
187,0,2017,0,0,0.0067114,0,0,8.6193895,5.1700802,6.3985901,6.0375199,8.8987999,7.6125798,3,
241,0,2016,0,0.0134228,0,0.154362,0,6.0956998,6.1310301,7.4448299,6.1835999,9.5772104,7.0643001,1,0
242,0,2016,0,0.033557,0,0.375839,0,6.2223601,6.9028301,7.4874201,6.8913202,9.5775604,6.9354,2,0
243,0,2016,0,0,0,0,0,6.3473902,6.9699798,7.6205502,7.2147298,9.5796299,7.02847,2,0
244,0,2016,0,0,0,0,0,6.3473902,6.7409201,7.5946698,7.3909702,9.5833998,7.2634602,2,0
245,0,2016,0,0,0,0,0,6.41817,6.1539502,7.3532701,6.9289699,9.58883,6.75701,1,0
246,0,2016,0,0,0,0,0,6.3985901,5.6261301,7.1566401,6.0451698,9.59587,6.0001602,2,0
247,0,2016,0,0,0.557047,0.0067114,0,6.5883799,0,7.1342502,5.0367599,9.6044598,5.8640299,1,0
248,0,2016,0,0,0.0067114,0,0,5.35186,5.1700802,6.95258,5.6082301,9.6103497,6.5745301,6,0
249,0,2016,0,0,0.0805369,0.0402685,0,5.5503201,4.51086,6.5419002,4.45263,9.5704603,6.8155699,5,0
250,0,2016,0,0,0,0.0067114,0,5.7500601,5.9687099,6.64329,5.3909101,9.5290203,6.8367801,1,2.0833299
251,0,2016,0,0,0,0,0,6.8084798,6.5390801,7.0824099,6.6700902,9.4858999,7.15031,3,0
252,0,2016,0,0,0,0,0,7.3102798,6.5390801,7.1642499,6.9591298,9.441,7.47367,5,
253,0,2016,0,0,0,0,0,7.6442199,6.14574,7.1642499,6.1202598,9.3941603,7.7247801,8,
254,0,2016,0,0,0.0939597,0,0,7.8951702,0,6.72754,0,9.3452196,7.7843399,8,
255,0,2016,0,0,0,0,0,8.0879498,6.2632599,6.5029502,6.28722,9.2940302,7.8365002,1,
256,0,2016,0,0,0,0,0,8.12321,6.9871802,6.8625798,6.1640301,9.2404003,7.8222499,6,
257,0,2016,0,0,0,0,0,8.1524296,7.29702,6.5521002,5.3619099,9.1841202,7.6907001,4,
258,0,2016,0,0,0,0,0,8.2075396,7.2986698,6.4726901,6.6409898,9.12498,7.5956998,4,
259,0,2016,0,0,0,0,0,8.2808304,6.8684602,6.9404898,6.0001602,9.0627499,7.5803399,3,
260,0,2016,0,0,0,0,0,8.3646698,6.4288602,7.2389898,5.6261301,8.9972095,7.65027,3,
261,0,2016,0,0,0,0,0,8.4530897,6.5710101,7.09091,6.7223401,8.9281397,7.7561102,3,
262,0,2016,0,0,0,0,0,8.54107,5.6261301,6.3985901,6.7576199,8.85534,7.5468702,4,
263,0,2017,0,0,0,0,0,9.3877802,5.4608898,4.2207098,6.6591001,9.4569302,6.1758699,1,4.1666698
